stateabb,statename,statefips,sector,sectorname,endweek,ic,emp,ic_share_emp,ic_share_sumic,ic_headline
MA,Massachusetts,25,54,"Professional, Scientific, and Technical Services",2020-03-14,521,350098,0.0014881547452427605,0.0741953859299345,7449
MA,Massachusetts,25,54,"Professional, Scientific, and Technical Services",2020-03-21,5175,350098,0.0147815754445898,0.038723436096976954,148452
MA,Massachusetts,25,54,"Professional, Scientific, and Technical Services",2020-03-28,6887,350098,0.019671634799399026,0.057304754455742124,181423
MA,Massachusetts,25,55,Management of Companies and Enterprises,2020-03-14,87,74823,0.0011627440760194059,0.012389632583309598,7449
MA,Massachusetts,25,55,Management of Companies and Enterprises,2020-03-21,1703,74823,0.022760381166218945,0.012743190661478599,148452
MA,Massachusetts,25,55,Management of Companies and Enterprises,2020-03-28,862,74823,0.01152052176469802,0.007172455109750212,181423
MA,Massachusetts,25,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-03-14,604,192602.3333333333,0.0031359952371639668,0.0860153802335517,7449
MA,Massachusetts,25,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-03-21,4422,192602.3333333333,0.02295922340850838,0.03308889554025741,148452
MA,Massachusetts,25,56,"Admin. and Support, Waste Mgmt. and Remediation Services",2020-03-28,7129,192602.3333333333,0.037014089479705164,0.0593183671431662,181423
MA,Massachusetts,25,61,Educational Services,2020-03-14,144,321277.6666666667,4.482104264950463e-4,0.02050697806892623,7449
MA,Massachusetts,25,61,Educational Services,2020-03-21,2914,321277.6666666667,0.009070035991712256,0.021804848847650403,148452
MA,Massachusetts,25,61,Educational Services,2020-03-28,2689,321277.6666666667,0.008369707200313747,0.022374398828443526,181423
MA,Massachusetts,25,62,Health Care and Social Assistance,2020-03-14,440,660174.6666666667,6.664902823697162e-4,0.06266021076616349,7449
MA,Massachusetts,25,62,Health Care and Social Assistance,2020-03-21,18192,660174.6666666667,0.02755634367470427,0.1361269081113439,148452
MA,Massachusetts,25,62,Health Care and Social Assistance,2020-03-28,16276,660174.6666666667,0.024654081445112504,0.13542793429964553,181423
MA,Massachusetts,25,71,"Arts, Entertainment, and Recreation",2020-03-14,194,81061.66666666667,0.0023932397146205564,0.027627456565081174,7449
